epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1997,1.33069,1.0166,1.51077,0.91447,0.65278,0.80023,0.43514,1.5673,1.1779,2.04684,0.0009968,0.0009968,0.0009968
78,2022.29,1.30564,0.98186,1.4851,0.88001,0.73611,0.8465,0.45041,1.50754,1.06801,1.98588,0.0009836,0.0009836,0.0009836
79,2047.36,1.31026,1.01316,1.50274,0.85638,0.80556,0.86708,0.47987,1.49606,1.01723,1.9319,0.0009704,0.0009704,0.0009704
80,2072.49,1.31384,0.9782,1.4451,0.90144,0.7622,0.85233,0.47388,1.43565,1.01548,1.90365,0.0009572,0.0009572,0.0009572
81,2097.58,1.31587,0.98918,1.49213,0.84196,0.72222,0.83897,0.43433,1.606,1.13367,2.05791,0.000944,0.000944,0.000944
82,2122.74,1.30511,0.98987,1.48071,0.96517,0.68056,0.83016,0.4404,1.54193,1.10004,2.01879,0.0009308,0.0009308,0.0009308
83,2147.72,1.26917,0.97075,1.45036,0.76636,0.80556,0.83463,0.44241,1.52698,1.10709,1.99348,0.0009176,0.0009176,0.0009176
84,2172.84,1.30406,1.00461,1.48939,0.80239,0.68056,0.80322,0.4266,1.48623,1.12618,1.95391,0.0009044,0.0009044,0.0009044
85,2197.9,1.28641,0.96443,1.47151,0.85226,0.80125,0.874,0.44917,1.56074,0.94546,2.10355,0.0008912,0.0008912,0.0008912
86,2223.16,1.29595,0.97899,1.49469,0.80717,0.75585,0.83509,0.4562,1.47701,1.06537,1.92401,0.000878,0.000878,0.000878
87,2248.27,1.2715,0.92968,1.4709,0.76825,0.65278,0.74,0.39432,1.50216,1.30584,1.97617,0.0008648,0.0008648,0.0008648
88,2273.32,1.26855,0.97069,1.44485,0.95526,0.59314,0.78404,0.42397,1.45339,1.174,1.93393,0.0008516,0.0008516,0.0008516
89,2298.3,1.23757,0.9286,1.41837,0.81667,0.68056,0.79468,0.42034,1.54306,1.19252,2.00725,0.0008384,0.0008384,0.0008384
90,2323.3,1.23708,0.91582,1.44206,0.77093,0.70121,0.83084,0.43872,1.63657,1.25126,2.08425,0.0008252,0.0008252,0.0008252
91,2348.34,1.22026,0.89557,1.43273,0.87498,0.77778,0.87207,0.44468,1.59913,1.01503,2.06799,0.000812,0.000812,0.000812
92,2373.52,1.2484,0.95562,1.43153,0.84496,0.75701,0.86171,0.45705,1.54371,1.0073,2.04862,0.0007988,0.0007988,0.0007988
93,2398.49,1.20371,0.90232,1.40848,0.82791,0.66822,0.77415,0.4119,1.52749,1.15206,2.01293,0.0007856,0.0007856,0.0007856
94,2423.77,1.22054,0.89929,1.4052,0.86513,0.59722,0.78049,0.4179,1.5396,1.15027,2.00886,0.0007724,0.0007724,0.0007724
95,2448.92,1.19,0.86686,1.41065,0.90912,0.75,0.83795,0.47059,1.51242,1.04091,1.97491,0.0007592,0.0007592,0.0007592
96,2474.31,1.20467,0.90791,1.40272,0.82908,0.72222,0.81304,0.41847,1.63217,1.10886,2.08897,0.000746,0.000746,0.000746
97,2499.49,1.17007,0.88443,1.39036,0.87966,0.68056,0.82269,0.46648,1.50088,1.03933,2.00132,0.0007328,0.0007328,0.0007328
98,2524.91,1.16271,0.85771,1.39007,0.82182,0.75,0.82023,0.45108,1.51875,1.00373,2.03484,0.0007196,0.0007196,0.0007196
99,2550.3,1.18959,0.88529,1.39257,0.84739,0.6941,0.80777,0.43277,1.49568,1.03139,1.97544,0.0007064,0.0007064,0.0007064
100,2576.98,1.19989,0.89613,1.41664,0.86675,0.625,0.76222,0.43671,1.51799,1.21072,2.00576,0.0006932,0.0006932,0.0006932
101,2602.32,1.16854,0.88468,1.40348,0.87012,0.73611,0.86388,0.49064,1.4836,1.0017,1.9685,0.00068,0.00068,0.00068
102,2627.63,1.15974,0.85089,1.37994,0.79701,0.75,0.8436,0.47605,1.50048,1.0242,1.97595,0.0006668,0.0006668,0.0006668
103,2653.13,1.16412,0.84557,1.37572,0.84801,0.70833,0.85036,0.47766,1.54947,0.93949,1.99259,0.0006536,0.0006536,0.0006536
104,2678.31,1.12512,0.82429,1.36016,0.79041,0.78572,0.8494,0.46883,1.53061,0.96347,2.05241,0.0006404,0.0006404,0.0006404
105,2703.73,1.14524,0.82656,1.35971,0.77532,0.67102,0.79019,0.45276,1.48473,1.02811,1.95391,0.0006272,0.0006272,0.0006272
106,2729.28,1.16134,0.85375,1.37469,0.78254,0.69975,0.80465,0.43463,1.48936,1.07839,1.94691,0.000614,0.000614,0.000614
107,2754.98,1.12406,0.83127,1.37007,0.78496,0.77778,0.83208,0.44745,1.48809,1.0232,2.01053,0.0006008,0.0006008,0.0006008
108,2780.39,1.14155,0.81283,1.35321,0.88738,0.73611,0.84497,0.46857,1.46385,0.97548,1.93182,0.0005876,0.0005876,0.0005876
109,2805.86,1.13123,0.81002,1.35051,0.8977,0.73131,0.84673,0.45176,1.51659,0.97664,1.99625,0.0005744,0.0005744,0.0005744
110,2831.29,1.08574,0.80009,1.33713,0.78131,0.69444,0.83201,0.43616,1.53432,1.03187,1.99471,0.0005612,0.0005612,0.0005612
111,2856.43,1.09957,0.78792,1.32599,0.83549,0.80556,0.84087,0.44517,1.50403,0.96369,2.00206,0.000548,0.000548,0.000548
112,2881.61,1.1142,0.79323,1.34052,0.85283,0.77778,0.85621,0.47394,1.50114,0.93054,2.00313,0.0005348,0.0005348,0.0005348
113,2906.83,1.10699,0.80749,1.33924,0.80238,0.66667,0.78325,0.40543,1.56466,1.21702,2.00866,0.0005216,0.0005216,0.0005216
114,2931.94,1.09155,0.79371,1.32605,0.81278,0.73611,0.81004,0.43606,1.53266,1.10028,1.99263,0.0005084,0.0005084,0.0005084
115,2956.95,1.07655,0.77513,1.31994,0.80805,0.76015,0.81261,0.42704,1.56408,1.08313,2.03945,0.0004952,0.0004952,0.0004952
116,2981.93,1.07668,0.75545,1.31179,0.80168,0.72993,0.79953,0.42938,1.52434,1.11338,2.03399,0.000482,0.000482,0.000482
117,3006.96,1.08067,0.76499,1.3224,0.76566,0.75,0.83113,0.44745,1.52846,0.98161,2.03827,0.0004688,0.0004688,0.0004688
118,3032.05,1.05788,0.75346,1.30538,0.76525,0.83333,0.84564,0.475,1.47971,0.95864,2.00414,0.0004556,0.0004556,0.0004556
119,3057.13,1.05596,0.76083,1.31334,0.75704,0.69244,0.76409,0.4208,1.53115,1.09081,2.12074,0.0004424,0.0004424,0.0004424
120,3082.25,1.08794,0.77299,1.33314,0.90561,0.75,0.88435,0.47605,1.52853,0.86299,2.05791,0.0004292,0.0004292,0.0004292
121,3107.19,1.04273,0.74073,1.30369,0.84236,0.81944,0.88045,0.48232,1.4381,0.8656,1.93936,0.000416,0.000416,0.000416
122,3132.19,1.02653,0.74405,1.29282,0.92571,0.69229,0.86745,0.48124,1.48633,0.95287,1.98123,0.0004028,0.0004028,0.0004028
123,3157.2,1.02012,0.74572,1.30029,0.83652,0.80556,0.89283,0.47809,1.51318,0.84221,2.0606,0.0003896,0.0003896,0.0003896
124,3182.36,1.07222,0.76724,1.32396,0.79619,0.70539,0.81348,0.45613,1.46837,0.98007,1.96507,0.0003764,0.0003764,0.0003764
125,3207.53,1.05238,0.74761,1.29572,0.82655,0.69444,0.82073,0.43693,1.53025,0.94863,2.01607,0.0003632,0.0003632,0.0003632
126,3232.96,1.04124,0.7313,1.29564,0.78794,0.75,0.80171,0.43469,1.55609,0.95957,2.04659,0.00035,0.00035,0.00035
127,3258.37,1.02512,0.71843,1.28579,0.81741,0.70833,0.81768,0.44719,1.54901,0.93492,2.03984,0.0003368,0.0003368,0.0003368
128,3283.63,1.03184,0.72964,1.29355,0.79564,0.80556,0.86684,0.46584,1.48746,0.97862,1.98042,0.0003236,0.0003236,0.0003236
129,3309.1,1.01032,0.71114,1.27301,0.85082,0.71296,0.82345,0.4564,1.5246,0.95379,2.00787,0.0003104,0.0003104,0.0003104
130,3334.74,0.99597,0.6925,1.26542,0.80234,0.76389,0.84434,0.47152,1.48018,0.85921,2.00098,0.0002972,0.0002972,0.0002972
131,3359.97,1.03665,0.7313,1.29651,0.88524,0.74995,0.88048,0.48382,1.4252,0.88233,1.95841,0.000284,0.000284,0.000284
132,3385.1,0.9992,0.71229,1.2761,0.74756,0.69923,0.77067,0.44311,1.46449,1.04647,1.9373,0.0002708,0.0002708,0.0002708
133,3410.23,1.01004,0.726,1.28317,0.83702,0.69444,0.79654,0.45225,1.46088,1.00074,1.94782,0.0002576,0.0002576,0.0002576
134,3435.26,1.01075,0.69953,1.27022,0.73881,0.84722,0.89144,0.49719,1.4192,0.85461,1.93025,0.0002444,0.0002444,0.0002444
135,3460.82,0.99684,0.68428,1.25172,0.7497,0.83202,0.87916,0.48837,1.44101,0.8358,1.95952,0.0002312,0.0002312,0.0002312
136,3485.79,1.00324,0.70066,1.27376,0.84941,0.70513,0.83627,0.46735,1.46681,0.97751,1.95122,0.000218,0.000218,0.000218
137,3511.05,0.99395,0.70409,1.27551,0.85782,0.75419,0.8808,0.49671,1.42577,0.86665,1.94124,0.0002048,0.0002048,0.0002048
