epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3174.91,1.02669,0.71102,1.13695,0.83827,0.72222,0.81456,0.4717,1.41151,1.04995,1.57642,0.0011684,0.0011684,0.0011684
107,3204.91,0.99158,0.68298,1.11549,0.76947,0.79167,0.84215,0.49743,1.46531,0.95677,1.59138,0.00116048,0.00116048,0.00116048
108,3234.82,1.01807,0.67508,1.1166,0.85348,0.75,0.84825,0.49618,1.44219,0.94816,1.60051,0.00115256,0.00115256,0.00115256
109,3264.4,0.98232,0.66964,1.11919,0.77625,0.81944,0.85184,0.48695,1.47366,0.90177,1.63085,0.00114464,0.00114464,0.00114464
110,3293.94,0.97833,0.65827,1.11212,0.7286,0.76389,0.81537,0.48884,1.46166,0.91546,1.57484,0.00113672,0.00113672,0.00113672
111,3323.89,0.98317,0.65983,1.1033,0.86117,0.88889,0.90917,0.52408,1.37654,0.7479,1.59042,0.0011288,0.0011288,0.0011288
112,3354.02,0.99706,0.66966,1.10519,0.81169,0.83819,0.8326,0.4718,1.52145,0.88072,1.70948,0.00112088,0.00112088,0.00112088
113,3383.53,0.98613,0.664,1.11019,0.85282,0.80477,0.8608,0.51907,1.44605,0.84234,1.64881,0.00111296,0.00111296,0.00111296
114,3413.09,0.98008,0.65757,1.10579,0.76726,0.73263,0.81723,0.45261,1.53156,0.95367,1.70201,0.00110504,0.00110504,0.00110504
115,3443.02,0.97519,0.64925,1.10168,0.90596,0.61111,0.78393,0.44412,1.58649,1.08661,1.74308,0.00109712,0.00109712,0.00109712
116,3473.37,0.95919,0.64359,1.0929,0.74219,0.73611,0.80258,0.47201,1.49221,1.03363,1.65747,0.0010892,0.0010892,0.0010892
117,3502.93,0.96262,0.65074,1.09913,0.7885,0.76389,0.81132,0.49394,1.44623,1.04168,1.65339,0.00108128,0.00108128,0.00108128
