epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,2836.17,1.20029,0.88288,1.25353,0.88154,0.81944,0.89806,0.53497,1.40883,0.8216,1.65212,0.0011024,0.0011024,0.0011024
70,2876.64,1.20304,0.86505,1.27745,0.84033,0.75,0.82024,0.48227,1.4789,1.09975,1.63984,0.0010892,0.0010892,0.0010892
71,2917.07,1.22313,0.89197,1.28215,0.78319,0.76389,0.82154,0.50423,1.39881,0.98994,1.57465,0.001076,0.001076,0.001076
72,2957.39,1.22955,0.89469,1.29688,0.8767,0.79003,0.87263,0.50921,1.42144,0.9154,1.59314,0.0010628,0.0010628,0.0010628
73,2997.95,1.18794,0.86702,1.24829,0.83737,0.78669,0.8534,0.52334,1.39918,0.894,1.62679,0.0010496,0.0010496,0.0010496
74,3039.34,1.17499,0.84696,1.25183,0.91133,0.71381,0.8715,0.5253,1.359,0.94338,1.54057,0.0010364,0.0010364,0.0010364
75,3079.65,1.21967,0.88399,1.28196,0.88787,0.79167,0.85908,0.55284,1.37284,0.93452,1.54787,0.0010232,0.0010232,0.0010232
76,3124.81,1.21172,0.855,1.27987,0.88238,0.72939,0.85315,0.51959,1.40827,0.98472,1.64175,0.00101,0.00101,0.00101
77,3165.28,1.17217,0.83078,1.25373,0.93192,0.76048,0.85821,0.51969,1.36222,0.86026,1.59407,0.0009968,0.0009968,0.0009968
78,3205.64,1.17898,0.83066,1.25841,0.8048,0.77778,0.81176,0.45103,1.47359,1.14549,1.66118,0.0009836,0.0009836,0.0009836
79,3246.11,1.16122,0.83465,1.25068,0.87141,0.79167,0.84949,0.50595,1.46627,0.92592,1.64106,0.0009704,0.0009704,0.0009704
80,3286.75,1.15165,0.80613,1.21643,0.85749,0.77778,0.873,0.50716,1.49303,0.89572,1.74043,0.0009572,0.0009572,0.0009572
81,3327.15,1.1705,0.83565,1.25734,0.9177,0.77435,0.86605,0.51726,1.46817,0.88556,1.68719,0.000944,0.000944,0.000944
82,3367.45,1.16427,0.8216,1.24768,0.81186,0.75,0.78832,0.46163,1.42419,1.10521,1.64446,0.0009308,0.0009308,0.0009308
83,3408.86,1.1121,0.80363,1.21541,0.89089,0.79167,0.89352,0.51666,1.55809,0.84907,1.82017,0.0009176,0.0009176,0.0009176
84,3449.67,1.15132,0.82604,1.25238,0.81996,0.69444,0.80884,0.4718,1.47065,1.03891,1.73987,0.0009044,0.0009044,0.0009044
